Quarter,gsl,states,entities,sumlevel,program_label,program,sub_program,Name,code,Subsidized units available,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,% Minority,pct_black_nonhsp,pct_native_american_nonhsp,pct_asian_pacific_nonhsp,pct_white_nothsp,pct_black_hsp,pct_wht_hsp,pct_oth_hsp,pct_hispanic,pct_multi,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,%White Non-Hispanic
2018-12-31,County,VA Virginia,VA Fredericksburg city 51630,9,Housing Choice Vouchers,3,,Fredericksburg city,51630,332,92,308,100,5,3,2.2,678,354,737,14798,6723,9,29,22,14,26,33,3,56,16,99,87,1,39,75,36,39,73,27,2,54,26,18,1,72,68,0,-1,28,1,2,0,4,0,20,146,99,117,12,43,45,42,16,49,36,,,,,,VA,,,28.0
2018-12-31,County,VA Virginia,VA Galax city 51640,9,Housing Choice Vouchers,3,,Galax city,51640,130,92,121,100,6,16,2.3,277,260,737,10915,4768,17,35,25,14,8,33,1,64,24,97,77,5,36,82,34,34,68,23,2,50,22,26,2,39,38,-1,-1,61,-1,1,-1,1,0,44,106,98,133,17,43,40,36,21,22,68,,,,,,VA,,,61.0
2018-12-31,County,VA Virginia,VA Hampton city 51650,9,Housing Choice Vouchers,3,,Hampton city,51650,3183,96,3024,99,5,12,2.4,7221,368,749,14139,5921,12,26,22,14,25,38,3,54,23,94,73,2,47,84,47,25,70,20,3,56,21,20,1,94,91,0,1,6,1,1,0,2,0,28,109,91,181,9,48,42,40,19,68,62,,,,,,VA,,,6.0
2018-12-31,County,VA Virginia,VA Harrisonburg city 51660,9,Housing Choice Vouchers,3,,Harrisonburg city,51660,685,90,619,100,6,13,2.6,1604,345,601,14080,5434,9,29,23,14,25,36,3,54,26,92,63,5,44,70,42,45,69,22,1,60,25,13,0,44,23,0,1,56,2,16,1,19,3,24,68,78,168,32,27,42,13,27,39,36,,,,,,VA,,,56.0
2018-12-31,County,VA Virginia,VA Hopewell city 51670,9,Housing Choice Vouchers,3,,Hopewell city,51670,503,110,462,84,5,17,2.4,1103,340,501,13792,5777,13,32,20,15,21,37,2,61,20,98,81,1,50,88,50,30,69,19,1,58,22,19,1,84,81,0,0,16,1,2,-1,2,1,39,73,79,156,23,24,53,29,24,54,65,,,,,,VA,,,16.0
2018-12-31,County,VA Virginia,VA Lexington city 51678,9,Housing Choice Vouchers,3,,Lexington city,51678,15,92,14,100,6,7,1.9,26,258,737,10394,5597,-1,71,21,7,-1,14,-1,86,23,100,86,-1,36,71,29,78,80,42,-1,36,29,36,-1,21,21,-1,-1,79,-1,-1,-1,0,0,46,120,93,104,57,36,7,-1,21,18,65,,,,,,VA,,,79.0
2018-12-31,County,VA Virginia,VA Lynchburg city 51680,9,Housing Choice Vouchers,3,,Lynchburg city,51680,978,77,746,99,5,1,1.8,1369,306,427,12728,6936,5,41,27,14,13,21,0,78,26,96,73,1,31,81,31,57,66,35,1,43,25,32,1,75,74,0,-1,25,-1,1,-1,1,1,32,102,83,150,39,37,24,26,27,54,56,,,,,,VA,,,25.0
2018-12-31,County,VA Virginia,VA Manassas city 51683,9,Housing Choice Vouchers,3,,Manassas city,51683,246,92,228,100,6,12,2.2,511,425,737,18067,8061,5,21,20,16,38,37,1,56,19,99,83,1,41,88,41,41,70,31,3,50,24,23,3,73,65,-1,3,27,2,4,0,6,0,65,105,92,90,67,22,11,0,10,55,37,,,,,,VA,,,27.0
2018-12-31,County,VA Virginia,VA Manassas Park city 51685,9,Housing Choice Vouchers,3,,Manassas Park city,51685,85,92,79,100,7,4,2.3,183,424,756,18351,7922,10,18,21,18,33,22,3,75,20,96,84,5,24,81,25,53,71,32,-1,28,15,57,8,61,52,-1,3,39,-1,6,-1,6,0,91,124,99,72,66,16,18,-1,10,56,42,,,,,,VA,,,39.0
2018-12-31,County,VA Virginia,VA Martinsville city 51690,9,Housing Choice Vouchers,3,,Martinsville city,51690,250,96,237,98,6,8,2.2,514,244,434,10230,4717,19,43,22,8,7,24,3,73,23,98,77,0,49,91,48,37,56,22,1,53,24,21,1,87,85,0,0,13,0,1,-1,1,0,20,100,91,157,16,53,30,30,26,56,71,,,,,,VA,,,13.0
